content
45,"Terima kasih banyak Jobstreet. Alhamdulillah sampai saat ini saya masih bekerja di perusahaan yg saya lamar melalui Jobstreet. Bahkan saya bisa naik jabatan. Oh ya.. Utk teman2 selalu melakukan update profile, melakukan refresh utk performanya. Menambahkan keahlian, kemampuan, dan pengalaman sesuai dgn performanya masing2. Untuk Jobstreet Terima kasih sudah menjadi wadah dan penghubung antara perusahaan dan pencari kerja. Semoga Berkah. Aamiin."
46,"Bagian mengunggahan File berformat .pdf .doc .docx bagian itu yang sering gagal. Ukuran maksimal 4mb sedangkan ukuran file yang akan di unggah dibawah 4mb (1,9mb). Gimana caranya Apakah ada cara lain? Sudah ku ubah dalam bentuk apapun segalanya sudah saya utak - Atik tetap gagal pengunggahan file. Pastinya bukan cuma saya yang mengalami hall ini karena bagian itu yang jadi masalahnya. Gagal unggah file.. padahal semuanya sudah OK."
47,"data diri dan nomor hp saya kesebar, ada yang wa saya mengaku mendapatkan database saya dari aplikasi jobstreet, hati hati."
48,"Terimakasih aplikasi jobstreet, karena dengan aplikasi ini sayah dapat pekerjaan yang baik"
49,Baru aja download uda dicoba daftar sama langsung masuk pake email msih trouble aja gbisa login ktnya suruh contact support
50,"Betulan ada loker gak sih sebenarnya di aplikasi ini? Tidak pernah ada yg d proses lebih lanjut, hanya keterangan lowongan kerja sudah di tutup 🤔"
51,"Para pencari kerja yang terhormat. Ini aplikasi penyedia lowongan kerja. Bila memang menemui lowongan kerja penipuan/bermasalah cukup buat laporan pada aplikasi. Bila lamaran anda belum ada panggilan, jangan patah semangat & tetap lamar sana sini. Peluang memang kecil, tapi kalo sudah rezekimu ya tidak akan tertukar. Cukup sekian kata-kata hari ini, memang ulasan berkedok tausiyah."
52,"Saya baru saja bergabung, mudah caranya untuk mendaftar. Mudah²an cara mendapatkan pekerjaannya juga mudah."
53,Masih sering banget ga relevan antara yang key words yang dicari sama yg muncul di pencarian
54,"Kenapa sih di aplikasi ini sering update aplikasi, tp tetep aja masih bnyak perusahaan bodong yg berkeliaran mengatas namakan hiring , dengan indikasi / tunjangan yg gak masuk akal dengan posisi yg di buka , tolong dong pihak development nya bisa ditindak lanjut lagi, kasus2 kaya gini sudah banyak,, tindak lanjut layar belakang perusahaan terlebih dahulu sebelum share,,, Ini saja masukan nya, ( selebihnya nya sangat membantu dari aspek pencariker )"
55,"Mohon untuk update open hiring nya lebih update, karena info yg disiarkan telat dari mulainya hiring perusahaan..!!"
56,"lowongan yang di iklan gak jelas gimana sih cuma ber iklan saja gak lama hilang lagi , setelah itu muncul lagi iklan yang sama , kalau memang butuh kandidat jangan seperti itu konsisten lah 🤦"
57,Banyak banget spam link dari aplikasi lain saat klik melamar... Ini aplikasi cari kerja atau aplikasi iklan untuk aplikasi lain? Dan kebanyakan lowongan di apk lain itu hoax. Gak ada perubahan.......
58,bagus baget aplikasi nya rekomendasi bgt.. bnyk info loker kerja.. tp aneh nya saya sudah hampir 2 thn mengirim lamaran di jobstreet tidak ada satu pun panggilan kerja . apa lagi diterima kerja. mohon maaf. yg salah saya apa yg iklanin loker kerja.apa aplikasinya .cuma ada pemberitahuan di lihat aja atauberakhir atau gk tutup.. semoga aplikasi ini lebih baik lagi ke depan nya amin
59,"Cukup memuaskan tapi saya jarang sekali bahkan sulit mendapat kan panggilan interview dari aplikasi ini sangat disayang kan saya kecewa sekali terus untuk melamar dibatasi saya dapat panggilan PT atau perusahaan nya yg tidak jelas saya tidak mau kena tipu, TOLONG untuk alamat email agar bisa diubah atau diedit ke email lain karena saya ingin mengubah alamat emai kenapa tidak bisa diubah?!?!!"
60,"Tidak bisa login, lebih nyaman sebelum pembaharuan, selalu eror login nya sekarang"
61,"Sebenarnya bagus. Tapi terkadang Keyword pencarian tidak sesuai. Dan usahakan yang memberikan lowongan itu sungguh tempat kerja, bukan penipuan."
62,Sangat membantu bagi para pencari kerja ga harus muter-muter cari kerjaan ngabisin ongkos dan waktu.
63,"Aplikasi penipu,, banyak banget job penipuan disini,,jadi kalian yg install aplikasi ini harus extra hati-hati.."
64,Bagus an jobstreet yang lama ka dulu sering dpt panggilan kerja soalnya dlu keterangannya jelas di bandingkan yang sekarang...
65,"Sudah sedikit bagusan, tapi tiba² ada pembaharuan baru. Eh.. Bukannya tambah bagus malah tambah ancur. Lokernya gk bisa ter update. Hingga loker² lama muncul semua."
66,"Filter Search Job nya tolong diperbaiki, sangat tidak relevan dengan apa yang dicari!"
67,10 tahun lebih menggunakan jobstreet tidak satupun pernah ada panggilan. PHP tingkat tinggi....
68,Kebanyakan loker lama yg di post ulang jadi setiap minggu nya gak ada yg berubah cuma itu itu aja loker nya
69,"Hati hati untuk pengguna aplikasi ini jgn di unduh. Tidak benar. Hoak. Alamat dan tujuan tidak sesuai . Banyak oknum"" yg tidak benar. Orang niat kerja uang duluan . Mending bener mah . Jgn lah mengunduh apk ini"
70,"Jobstreet maaf banget nih ya saya kasih rating segini, tolong min kalo ngasih konfirmasi ke perusahaan jangan ngadi ngadi, banyak banget sekarang yang bodongnya and interview di ruko ada yang perusahaannya dibandung aja tapi ini di aplikasi ada yang cabngnya di jakarta"
71,Aplikasi yg sangat buruk jgn di download atau nyesal nanti banyak kali gitu yg gak masuk akal..
